"Aircraft: Airline/Operator","Aircraft: Make/Model","Aircraft: Type","Airport: Name","Altitude bin","Conditions: Precipitation","Conditions: Sky","Effect: Impact to flight","Effect: Indicated Damage","Effect: Other","FlightDate","Number of human fatalities","Number of people injured","Origin State","Remarks","When: Phase of flight","When: Time of day","Wildlife: Number struck","Wildlife: Size","Wildlife: Species","Aircraft: Flight Number","Aircraft: Number of engines?","Cost: Other (inflation adj)","Cost: Repair (inflation adj)","Cost: Total $","Feet above ground","Miles from airport","Number of Records","Record ID","Speed (IAS) in knots"
"COMAIR AIRLINES","CL-RJ100/200","Airplane","JACKSONVILLE INTL","< 1000 ft","None","No Cloud","None","No damage",,3/8/2001 0:00,,,"Florida","FLT 3070. PILOT CONTD TO BOS. UNABLE TO OBTAIN INFO FROM HIM OR OPERATIONS. RWY CHECKED, NO BIRDS FOUND.","Take-off run","Day",1,"Medium","Unknown bird - medium",,2,0,0,0,0,0,1,"208,769",
"COMAIR AIRLINES","CL-RJ100/200","Airplane","NEW ORLEANS INTL","< 1000 ft",,,,"No damage",,3/6/2001 0:00,,,"Louisiana","FLT 119 HAD A BIRD STRIKE ON LDG. NO REPTD DMG.","Landing Roll",,1,"Medium","Unknown bird - medium",119,2,0,0,0,0,0,1,"210,720",
"COMAIR AIRLINES","CL-RJ100/200","Airplane","NORTH CENTRAL WEST VIRGINIA ARPT","< 1000 ft",,"Some Cloud","None","No damage",,2/20/2001 0:00,,,"West Virginia","FLT 9421 HIT A BIRD ON DEPTR. CONTD TO ABE. PILOT REPTD NO DMG.","Take-off run","Day",1,"Small","Unknown bird - small",,2,0,0,0,0,0,1,"204,293",
"COMAIR AIRLINES","CL-RJ100/200","Airplane","FORT WAYNE INTL","< 1000 ft","Rain","Overcast","None","No damage",,1/30/2001 0:00,,,"Indiana","PILOT REPTD SEEING BIRD GO UNDER A/C AND FELT IMPACT. A/C WAS INSPCTD, NO IMPACT OR DMG FOUND. FLT 7031","Approach","Day",1,"Medium","Red-tailed hawk",,2,0,0,0,30,,1,"203,223",120
"COMAIR AIRLINES","CL-RJ100/200","Airplane","CINCINNATI/NORTHERN KENTUCKY INTL ARPT","> 1000 ft","None","No Cloud","None","No damage",,1/21/2001 0:00,,,"Kentucky","BIRD HIT LHS WINDSHLD (CAPT'S SIDE)","Approach","Night",1,"Small","Unknown bird - small",,2,0,0,0,"5,000",,1,"206,335",
"COMAIR AIRLINES","CL-RJ100/200","Airplane","NEW ORLEANS INTL","< 1000 ft",,,,"No damage",,12/30/2000 0:00,,,"Louisiana","FLT 119 HAD A BIRD STRIKE ON LDG. TIME WAS 2341Z. NO REPTD DMG","Landing Roll",,1,"Medium","Unknown bird - medium",119,2,0,0,0,0,0,1,"205,838",
"COMAIR AIRLINES","CL-RJ100/200","Airplane","SAVANNAH INTL","< 1000 ft","Rain","Overcast","None","No damage",,12/28/2000 0:00,,,"Georgia","NO DMG NOTED BY CAPT","Landing Roll","Day",1,"Medium","Unknown bird - medium",,2,0,0,0,0,0,1,"205,459",120
"COMAIR AIRLINES","CL-RJ100/200","Airplane","LEHIGH VALLEY INTL","< 1000 ft","None","Some Cloud","None","No damage",,12/24/2000 0:00,,,"Pennsylvania","BIRD REPTD AS GOOSE, ASSUME CAGO.","Landing Roll","Night","2 to 10","Large","Canada goose",,2,0,0,0,0,0,1,"209,896",130
"COMAIR AIRLINES","CL-RJ100/200","Airplane","CINCINNATI/NORTHERN KENTUCKY INTL ARPT","< 1000 ft","None","No Cloud","None","No damage",,12/20/2000 0:00,,,"Kentucky","HAWK REMOVED FROM RWY.","Take-off run","Day",1,"Medium","Red-shouldered hawk",877,2,0,0,0,0,0,1,"205,215",
"COMAIR AIRLINES","CL-RJ100/200","Airplane","CINCINNATI/NORTHERN KENTUCKY INTL ARPT","< 1000 ft","Rain","Overcast","Precautionary Landing","Caused damage",,12/13/2000 0:00,,,"Kentucky","DMG TO NOSE GEAR. FLT 957","Climb","Night","2 to 10","Medium","Unknown bird - medium",,2,0,0,0,400,,1,"205,109",170
"COMAIR AIRLINES","CL-RJ100/200","Airplane","SARASOTA-BRADENTON","< 1000 ft","None","Overcast","None","No damage",,11/19/2000 0:00,,,"Florida","FLT 5649. ATC REPTD BIRD STRIKE FROM CRJ OPS FOUND 22 CARCASSES.","Landing Roll","Night","11 to 100",,"Sandpipers",,2,0,0,0,0,0,1,"208,791",
"COMAIR AIRLINES","CL-RJ100/200","Airplane","EPPLEY AIRFIELD","> 1000 ft","None","Overcast","None","Caused damage",,11/12/2000 0:00,,,"Nebraska","SML DENT LE RT WING. MAY HAVE HAD MORE STRIKES ON L SIDE, NO NOTICEABLE DMG. FLT 781","Approach","Dusk","2 to 10",,"Geese",,2,0,0,0,"2,100",,1,"200,493",200
"COMAIR AIRLINES","CL-RJ100/200","Airplane","CINCINNATI/NORTHERN KENTUCKY INTL ARPT","< 1000 ft","None","Overcast",,"No damage",,11/10/2000 0:00,,,"Kentucky","FLT 400. UNKN WHERE ON A/C BIRD STRUCK","Approach","Night",1,"Small","Unknown bird - small",400,2,0,0,0,300,,1,"202,104",130
"COMAIR AIRLINES","CL-RJ100/200","Airplane","THE EASTERN IOWA ARPT","< 1000 ft","None","No Cloud","None","No damage",,11/2/2000 0:00,,,"Iowa","FLT 522","Take-off run","Dusk","2 to 10","Medium","Unknown bird - medium",,2,0,0,0,0,0,1,"204,606",
"COMAIR AIRLINES","EMB-120","Airplane","SOUTHWEST FLORIDA INTL ARPT","< 1000 ft","None","No Cloud","None","No damage",,11/1/2000 0:00,,,"Florida","FLT 61","Landing Roll","Day",1,,"Blackbirds",,2,0,0,0,0,0,1,"207,255",60
"COMAIR AIRLINES","CL-RJ100/200","Airplane","BUFFALO-NIAGARA INTL","< 1000 ft","None","No Cloud","None","No damage",,10/31/2000 0:00,,,"New York","FLT 688. ARPT OPERATOR NOTIFIED","Take-off run","Day","2 to 10","Small","Unknown bird - small",,2,0,0,0,0,0,1,"204,007",
"COMAIR AIRLINES","CL-RJ100/200","Airplane","TULSA INTL","Unknown",,,,"No damage",,10/30/2000 0:00,,,"Oklahoma","FLT735 ON 2 MI FINAL REPTD A BIRD STRIKE. NO DMG REPTD. TIME 0343Z","Approach",,1,"Medium","Unknown bird - medium",735,2,0,0,0,,,1,"210,050",
"COMAIR AIRLINES","CL-RJ100/200","Airplane","DETROIT METRO WAYNE COUNTY ARPT","< 1000 ft","None","No Cloud","None","No damage",,10/9/2000 0:00,,,"Michigan","# BIRDS STRUCK NOT REPTD, ASSUME 2-10, SAME AS @ SEEN.","Approach","Day","2 to 10","Small","Unknown bird - small",,2,0,0,0,300,,1,"201,960",130
"COMAIR AIRLINES","CL-RJ100/200","Airplane","BLUE GRASS ARPT","< 1000 ft","None","No Cloud",,"No damage",,9/29/2000 0:00,,,"Kentucky","FLT 5821","Approach","Day",1,"Small","European starling",,2,0,0,0,800,,1,"205,697",120
"COMAIR AIRLINES","CL-RJ100/200","Airplane","FORT WAYNE INTL","< 1000 ft","None","No Cloud","None","No damage",,9/28/2000 0:00,,,"Indiana","ROBIN/STARLING FLT 5567","Approach","Dusk",1,"Small","Unknown bird - small",,2,0,0,0,100,,1,"202,872",140
"COMAIR AIRLINES","CL-RJ100/200","Airplane","UNKNOWN","> 1000 ft",,"Some Cloud","None","No damage",,9/26/2000 0:00,,,"N/A","FLT5741","Descent","Night","2 to 10","Medium","Unknown bird - medium",,2,0,0,0,"5,000",,1,"200,677",230
"COMAIR AIRLINES","CL-RJ100/200","Airplane","CINCINNATI/NORTHERN KENTUCKY INTL ARPT","< 1000 ft","None","Overcast","None","No damage",,9/24/2000 0:00,,,"Kentucky","ATIS WARNING. FLT 5942","Approach","Day",1,"Small","Unknown bird - small",,2,0,0,0,400,,1,"200,526",145
"COMAIR AIRLINES","CL-RJ100/200","Airplane","CINCINNATI/NORTHERN KENTUCKY INTL ARPT","< 1000 ft","None","Overcast","Precautionary Landing","No damage",,9/22/2000 0:00,,,"Kentucky","FLT 5693. BIRD WAS LRGR THAN STARLING. HIT BIRD AFTER ROTATION AND RETD TO CVG FOR INSPN. A/C WAS CLEANED AND RETD TO SVC.","Climb","Night",1,"Medium","Unknown bird - medium",,2,0,0,0,50,,1,"207,421",150
"COMAIR AIRLINES","CL-RJ100/200","Airplane","STEWART INTL AIRPORT","< 1000 ft",,,,"Caused damage",,9/21/2000 0:00,,,"New York","RT INBD FLAP HAD MINOR DMG. DEER WAS SEEN IN LDG LIGHTS. DID NOT HAVE TIME OT MISS DEER.","Landing Roll","Night",1,"Large","White-tailed deer",,2,0,0,0,0,0,1,"209,716",
"COMAIR AIRLINES","CL-RJ100/200","Airplane","WILKES-BARRE/SCRANTON INTL","< 1000 ft",,,,"No damage",,9/15/2000 0:00,,,"Pennsylvania","TIME 2130Z. FLT 5286.","Take-off run","Day",1,,"Hawks",,2,0,0,0,0,0,1,"205,514",
"COMAIR AIRLINES","CL-RJ100/200","Airplane","GERALD R FORD INTL","< 1000 ft","Rain","Overcast","None","No damage",,9/14/2000 0:00,,,"Michigan","POSSIBLY HIT TIRE. PILOT REPTD STRIKING BIRD ON HIS LDG ROLL.","Landing Roll","Day",1,,"Gulls",,2,0,0,0,0,0,1,"205,810",
"COMAIR AIRLINES","CL-RJ100/200","Airplane","YEAGER ARPT","Unknown","None","Some Cloud","None","No damage",,9/10/2000 0:00,,,"West Virginia","FLT 5549 LANDED & DEPTD, NO PROBLEMS. (BIRD REPTD AS CROW, ASSUME AMERICAN CROW FROM LOCATION)","Approach","Day",1,,"American crow",,2,0,0,0,,,1,"206,778",
"COMAIR AIRLINES","CL-RJ100/200","Airplane","CINCINNATI/NORTHERN KENTUCKY INTL ARPT","< 1000 ft","Rain","Overcast","Precautionary Landing","No damage",,9/10/2000 0:00,,,"Kentucky","FLT5397 RETD DUE TO A BIRD STRIKE LANDED W/O INCIDENT. NO DMG REPTD.","Climb","Day",1,,"Blackbirds",,2,0,0,0,100,,1,"201,134",160
"COMAIR AIRLINES","CL-RJ100/200","Airplane","CINCINNATI/NORTHERN KENTUCKY INTL ARPT","< 1000 ft","None","Overcast","None","No damage",,9/8/2000 0:00,,,"Kentucky","FLT 5411","Take-off run","Day",1,"Small","Unknown bird - small",,2,0,0,0,0,0,1,"201,015",
"COMAIR AIRLINES","CL-RJ100/200","Airplane","BOB HOPE ARPT","< 1000 ft","None","No Cloud","None","No damage",,9/5/2000 0:00,,,"California","FLOCK OF BIRDS AT APCH END. HIT L WING.","Approach","Day","2 to 10","Small","Unknown bird - small",,2,0,0,0,400,,1,"204,222",135
"COMAIR AIRLINES","CL-RJ100/200","Airplane","SAVANNAH INTL","< 1000 ft","None","Some Cloud","None","No damage",,8/28/2000 0:00,,,"Georgia","FLT6053","Landing Roll","Dusk","2 to 10","Small","Purple martin",,2,0,0,0,0,0,1,"200,783",120
"COMAIR AIRLINES","CL-RJ100/200","Airplane","LONG ISLAND MAC ARTHUR","< 1000 ft","None","No Cloud","None","No damage",,8/21/2000 0:00,,,"New York","PILOT REPTD BIRD STRIKE POSSIBLY BEFORE LDG. BLOOD STAINS ON NOSE OF A/C. NO CARCASS FOUND.","Approach","Day",1,"Medium","Unknown bird - medium",,2,0,0,0,20,,1,"202,508",
"COMAIR AIRLINES","CL-RJ100/200","Airplane","SOUTH BEND REGIONAL","< 1000 ft",,,"Aborted Take-off","No damage",,8/20/2000 0:00,,,"Indiana","FLT 5248 HAD A SMALL DENT. (DATA ENTRY NOTE: PHONE CALL TO AIRLINE FOUND NO DAMAGE OCCURRED)","Take-off run","Day",1,"Medium","Unknown bird - medium",,2,0,0,0,0,0,1,"200,870",
"COMAIR AIRLINES","CL-RJ100/200","Airplane","CHARLOTTE/DOUGLAS INTL ARPT","< 1000 ft","None","Some Cloud","None","No damage",,8/19/2000 0:00,,,"North Carolina",,"Approach","Day",1,"Small","Unknown bird - small","5,543",2,0,0,0,300,,1,"203,419",140
"COMAIR AIRLINES","CL-RJ100/200","Airplane","GREATER ROCHESTER INTL","< 1000 ft","None","No Cloud","None","No damage",,8/13/2000 0:00,,,"New York","MECH LOOKED AT A/C FOUND NO DMG. SML PUP","Landing Roll","Night",1,,"Foxes",,2,0,0,0,0,0,1,"204,985",
"COMAIR AIRLINES","CL-RJ100/200","Airplane","CINCINNATI/NORTHERN KENTUCKY INTL ARPT","< 1000 ft","None","Some Cloud","None","No damage",,8/6/2000 0:00,,,"Kentucky",,"Take-off run","Day",1,"Small","Unknown bird - small",,2,0,0,0,0,0,1,"204,459",110
"COMAIR AIRLINES","CL-RJ100/200","Airplane","CINCINNATI/NORTHERN KENTUCKY INTL ARPT","< 1000 ft","None","No Cloud","None","No damage",,8/6/2000 0:00,,,"Kentucky",,"Approach","Dusk",1,,"Blackbirds",,2,0,0,0,100,,1,"200,305",140
"COMAIR AIRLINES","CL-RJ100/200","Airplane","CINCINNATI/NORTHERN KENTUCKY INTL ARPT","< 1000 ft","Fog","Some Cloud","None","No damage",,8/1/2000 0:00,,,"Kentucky","FLT 5424","Landing Roll","Day",1,"Small","Unknown bird - small","5,424",2,0,0,0,0,0,1,"205,484",
"COMAIR AIRLINES","CL-RJ100/200","Airplane","DANE COUNTY REGIONAL ARPT-TRUAX FLD","< 1000 ft","None","No Cloud","None","No damage",,7/24/2000 0:00,,,"Wisconsin","FLT 5616","Climb","Day","2 to 10","Medium","Unknown bird - medium",,2,0,0,0,300,,1,"204,190",
"COMAIR AIRLINES","CL-RJ100/200","Airplane","CINCINNATI/NORTHERN KENTUCKY INTL ARPT","< 1000 ft","None","No Cloud","None","No damage",,7/23/2000 0:00,,,"Kentucky","BIRD HIT RHS NOSE. ARFF RECOVERED 2 BIRDS FROM RWY AT 1700.","Take-off run","Day","2 to 10","Small","Eastern meadowlark",,2,0,0,0,0,0,1,"203,187",150
"COMAIR AIRLINES","CL-RJ100/200","Airplane","CINCINNATI/NORTHERN KENTUCKY INTL ARPT","< 1000 ft","None","No Cloud","None","No damage",,7/23/2000 0:00,,,"Kentucky","PILOT OF FLT 5260 WAS REQUESTED THRU OPS TO CALL TWR, PILOT DID NOT CALL WITH DAMGE.","Landing Roll","Day",1,"Small","Cliff swallow",,2,0,0,0,0,0,1,"202,730",
"COMAIR AIRLINES","CL-RJ100/200","Airplane","CINCINNATI/NORTHERN KENTUCKY INTL ARPT","< 1000 ft","Rain","Overcast","Precautionary Landing","No damage",,7/19/2000 0:00,,,"Kentucky","FLT 5981. HIT BIRDS AT ROTATION. RETD TO FIELD. NORMAL LDG. FLT WAS CANCELLED. BAD WEATHER ALSO A FACTOR.","Climb","Day",1,"Medium","American crow",,2,0,0,0,20,,1,"202,830",150
"COMAIR AIRLINES","EMB-120","Airplane","PENSACOLA REGIONAL","Unknown","None","No Cloud","None","No damage",,7/18/2000 0:00,,,"Florida",,"Approach","Day",1,"Small","Unknown bird - small",,2,0,0,0,,,1,"200,686",
"COMAIR AIRLINES","CL-RJ100/200","Airplane","LOUISVILLE INTL ARPT","< 1000 ft","None","Some Cloud","None","No damage",,7/18/2000 0:00,,,"Kentucky",,"Take-off run","Day",1,"Small","Unknown bird - small",,2,0,0,0,0,0,1,"202,913",
"COMAIR AIRLINES","CL-RJ100/200","Airplane","HARRISBURG INTL","< 1000 ft","None","No Cloud","None","No damage",,7/16/2000 0:00,,,"Pennsylvania","FLT 7037","Approach","Day",1,"Small","Unknown bird - small",,2,0,0,0,800,,1,"207,423",150
"COMAIR AIRLINES","CL-RJ100/200","Airplane","LYNDEN PINDLING INTL ARPT","< 1000 ft","None","No Cloud","None","No damage",,7/15/2000 0:00,,,"N/A",,"Landing Roll","Night",1,"Small","Unknown bird - small",,2,0,267,267,0,0,1,"205,918",138
"COMAIR AIRLINES","CL-RJ100/200","Airplane","CINCINNATI/NORTHERN KENTUCKY INTL ARPT","< 1000 ft",,"Some Cloud","None","No damage",,7/12/2000 0:00,,,"Kentucky",,"Take-off run","Day",1,"Small","Unknown bird - small",,2,0,0,0,0,0,1,"200,740",
"COMAIR AIRLINES","CL-RJ100/200","Airplane","INDIANAPOLIS INTL","< 1000 ft","None","No Cloud","None","No damage",,7/7/2000 0:00,,,"Indiana","FLT 5654","Take-off run","Day",1,,"Sparrows",,2,0,0,0,0,0,1,"202,250",120
"COMAIR AIRLINES","CL-RJ100/200","Airplane","LAMBERT-ST LOUIS INTL","< 1000 ft",,"Overcast","Other","No damage","NO DETAILS GIVEN",7/3/2000 0:00,,,"Missouri","ATIS WARNING. (DATA ENTRY NOTE: EFFECT WAS CHECKED AS OTHER, BUT NOT DETAILS GIVEN)","Climb","Day","2 to 10","Small","Unknown bird - small","5,732",2,0,0,0,20,,1,"203,021",170
"COMAIR AIRLINES","CL-RJ100/200","Airplane","CINCINNATI/NORTHERN KENTUCKY INTL ARPT","< 1000 ft","None","Some Cloud","None","No damage",,7/2/2000 0:00,,,"Kentucky","1 DOVE RECOVERED BY ARFF AT 1420 LCL","Landing Roll","Day",1,"Small","Mourning dove",,2,0,0,0,0,0,1,"201,616",130
"COMAIR AIRLINES","CL-RJ100/200","Airplane","CINCINNATI/NORTHERN KENTUCKY INTL ARPT","< 1000 ft","None","Some Cloud","None","No damage",,6/23/2000 0:00,,,"Kentucky","FLT 5575. PILOT REPTD HE MAY HAVE HIT BIRD(S). NONE FOUND ON RWY (DATA ENTRY NOTE; THIS FLT DEPTS AT 1925 LCL)","Climb","Day",1,"Medium","Unknown bird - medium",,2,0,0,0,50,,1,"200,492",130
"COMAIR AIRLINES","CL-RJ100/200","Airplane","CINCINNATI/NORTHERN KENTUCKY INTL ARPT","< 1000 ft","None","Some Cloud","None","No damage",,6/21/2000 0:00,,,"Kentucky",,"Climb","Day",1,"Small","Unknown bird - small",,2,0,0,0,400,,1,"204,218",170
"COMAIR AIRLINES","CL-RJ100/200","Airplane","CINCINNATI/NORTHERN KENTUCKY INTL ARPT","< 1000 ft","None","Some Cloud","None","No damage",,6/20/2000 0:00,,,"Kentucky","ATIS ALWAYS WARNS OF BIRD IN CV","Approach","Day",1,"Small","Unknown bird - small",,2,0,0,0,20,,1,"206,838",145
"COMAIR AIRLINES","CL-RJ100/200","Airplane","CINCINNATI/NORTHERN KENTUCKY INTL ARPT","< 1000 ft","None","Overcast","Precautionary Landing","No damage",,6/20/2000 0:00,,,"Kentucky","BIRD HIT BEHIND RADOME  & IN FRONT OF WIPER BLADE ON CAPT SIDE. REPTS DIFFER AS TO SPEED, ALT AND PARTS STRUCK","Climb","Day",1,"Small","European starling",,2,0,0,0,10,,1,"202,071",150
"COMAIR AIRLINES","CL-RJ100/200","Airplane","KALAMAZOO/BATTLE CREEK INTL","< 1000 ft","None","Some Cloud","None","No damage",,6/15/2000 0:00,,,"Michigan","SPARROWS/STARLINGS. FLT 5477","Approach","Day","2 to 10","Small","European starling",,2,0,0,0,40,,1,"201,505",
"COMAIR AIRLINES","EMB-120","Airplane","CINCINNATI/NORTHERN KENTUCKY INTL ARPT","< 1000 ft","None","Some Cloud","None","No damage",,5/29/2000 0:00,,,"Kentucky","BIRD REPTD AS DOVE, ID BY WS BIOL AS STARLLING","Approach","Day",1,"Small","European starling",,2,0,0,0,50,,1,"200,765",120
"COMAIR AIRLINES","CL-RJ100/200","Airplane","BLUE GRASS ARPT","< 1000 ft","None","Some Cloud","None","No damage",,5/18/2000 0:00,,,"Kentucky",,"Approach","Night",1,"Small","Unknown bird - small",,2,0,0,0,300,,1,"204,615",110
"COMAIR AIRLINES","CL-RJ100/200","Airplane","LAGUARDIA NY","< 1000 ft","None","No Cloud","None","No damage",,5/16/2000 0:00,,,"New York","LRG SWALLOW OR SML PIGEON. WINDSHLD CLEANED & INSPCTD. TIME OUT OF SVC 1/2 HR.","Approach","Day",1,"Medium","Unknown bird - medium",,2,0,200,200,50,,1,"207,226",127
"COMAIR AIRLINES","CL-RJ100/200","Airplane","CINCINNATI/NORTHERN KENTUCKY INTL ARPT","< 1000 ft","None","Some Cloud","None","No damage",,5/8/2000 0:00,,,"Kentucky","ARFF RECVD KILDEER AT 1625. STRIKE WAS REPTD BY PILOT. (DATA ENTRY NOTE: FORM FROM SATCS SAYS BIRD WAS NOT RECOVERED)","Take-off run","Day",1,"Small","Killdeer",,2,0,0,0,0,0,1,"201,179",
"COMAIR AIRLINES","CL-RJ100/200","Airplane","MOBILE REGIONAL","< 1000 ft","None","Some Cloud","None","No damage",,5/4/2000 0:00,,,"Alabama","FLT 7215","Approach","Day",1,"Medium","Unknown bird - medium",,2,0,0,0,100,,1,"202,189",130
"COMAIR AIRLINES","CL-RJ100/200","Airplane","CINCINNATI/NORTHERN KENTUCKY INTL ARPT","> 1000 ft","None","No Cloud","None","No damage",,5/2/2000 0:00,,,"Kentucky","MAINT IS CHECKING FOR DMG ON CO/P SIDE OF WINDSHLD.","Approach","Night",1,"Medium","Unknown bird - medium",,2,0,0,0,"3,000",,1,"201,502",180
"COMAIR AIRLINES","CL-RJ100/200","Airplane","CINCINNATI/NORTHERN KENTUCKY INTL ARPT","> 1000 ft","None","No Cloud","None","No damage",,4/30/2000 0:00,,,"Kentucky",,"Approach","Day","2 to 10","Small","Unknown bird - small",,2,0,0,0,"2,000",,1,"205,954",
"COMAIR AIRLINES","CL-RJ100/200","Airplane","TOLEDO EXPRESS ARPT","< 1000 ft","None","Some Cloud","Other","Caused damage","CANCELLED FLT",4/13/2000 0:00,,,"Ohio","DMGD FLAP CAUSED DEPTR TO BE CANCELLED. POSSIBLE ENG DMG. FLAP AND RIVET BENT.","Landing Roll","Day","2 to 10","Large","Canada goose",,2,0,"10,691","10,691",0,0,1,"200,681",
"COMAIR AIRLINES","CL-RJ100/200","Airplane","GREATER ROCHESTER INTL","< 1000 ft","Rain","Overcast","Precautionary Landing","No damage",,4/5/2000 0:00,,,"New York","FLT 15902. GULL FOUND ABOUT 6000' ON EAST EDGE FROM APCH OF RWY 22.","Take-off run","Dusk",1,,"Gulls",,2,0,0,0,0,0,1,"205,189",
"COMAIR AIRLINES","CL-RJ100/200","Airplane","ORLANDO INTL","< 1000 ft",,,"Precautionary Landing","No damage",,4/3/2000 0:00,,,"Florida","NO DMG REPTD. DID NOT DECLARE EMERG. FLT 5177.","Take-off run","Day",1,"Medium","Unknown bird - medium",,2,0,0,0,0,0,1,"201,579",
"COMAIR AIRLINES","EMB-120","Airplane","PENSACOLA REGIONAL","< 1000 ft","None","Overcast","None","No damage",,3/15/2000 0:00,,,"Florida",,"Approach","Day","2 to 10",,"Sparrows",,2,0,0,0,200,,1,"200,608",120
"COMAIR AIRLINES","CL-RJ100/200","Airplane","MIAMI INTL","< 1000 ft","None","Overcast","None","No damage",,3/14/2000 0:00,,,"Florida","FLT 1166.","Approach","Day",1,,"Gulls",,2,0,0,0,9,,1,"200,415",120
"COMAIR AIRLINES","CL-RJ100/200","Airplane","WILKES-BARRE/SCRANTON INTL","< 1000 ft","None","Overcast","None","No damage",,3/2/2000 0:00,,,"Pennsylvania",,"Approach","Night","2 to 10",,"Gulls",,2,0,0,0,"1,000",,1,"202,862",135
"COMAIR AIRLINES","CL-RJ100/200","Airplane","TALLAHASSEE REGIONAL","< 1000 ft","None","No Cloud","None","No damage",,2/12/2000 0:00,,,"Florida","FLT 197","Approach","Day",1,"Medium","Unknown bird - medium",,2,0,0,0,300,,1,"200,642",120
"COMAIR AIRLINES","CL-RJ100/200","Airplane","CINCINNATI/NORTHERN KENTUCKY INTL ARPT","< 1000 ft","None","Some Cloud","Precautionary Landing","No damage",,2/9/2000 0:00,,,"Kentucky","ATIS WARNING. BIRD ENTERED PITOT TUBE. MAINT CLEARED IT AND A/C  WAS RETD TO SVC FLT 731","Climb","Night",1,"Medium","Unknown bird - medium",731,2,0,0,0,30,,1,"203,896",145
"COMAIR AIRLINES","EMB-120","Airplane","PENSACOLA REGIONAL","< 1000 ft","None","Overcast","None","No damage",,1/3/2000 0:00,,,"Florida","FLT 61","Landing Roll","Day","2 to 10",,"Crows",,2,0,0,0,0,0,1,"202,643",100
"COLGAN AIRWAYS","SAAB-340","Airplane","MANASSAS REGIONAL ARPT","Unknown","None","No Cloud","None","No damage",,7/12/2001 0:00,,,"Virginia",,"Climb","Dawn",1,"Medium","Unknown bird - medium",,2,0,0,0,,,1,"205,043",
"CLAY LACY AVIATION","GULFAERO III","Airplane","TETERBORO AIRPORT","< 1000 ft","Rain","Overcast","None","No damage",,11/26/2000 0:00,,,"New Jersey","FEMALE MALLARD","Landing Roll","Night",1,"Medium","Mallard",,2,0,0,0,0,0,1,"206,816",
"CHINA SOUTHERN AIRLINES","B-747-400","Airplane","TED STEVENS ANCHORAGE INTL","Unknown","None","Overcast","None","No damage",,7/5/2000 0:00,,,"Alaska","PILOT REPTD STRIKE ON DEPTR. NO ASSISTANCE REQD. PART STRUCK NOT REPTD.","Climb","Day",1,"Large","Canada goose",,4,0,0,0,,,1,"205,894",
"CHAUTAUQUA AIRLINES","EMB-145","Airplane","LAMBERT-ST LOUIS INTL","< 1000 ft","None","Some Cloud","None","No damage",,8/2/2001 0:00,,,"Missouri","ATIS WARNING. FLT 7637","Approach","Day",1,"Small","Mourning dove",,2,0,0,0,50,,1,"209,331",120
"CHAUTAUQUA AIRLINES","EMB-145","Airplane","CINCINNATI/NORTHERN KENTUCKY INTL ARPT","< 1000 ft","None","Some Cloud","None","No damage",,7/30/2001 0:00,,,"Kentucky",,"Approach","Day",1,"Small","European starling",,2,0,0,0,100,,1,"210,861",130
"CHAUTAUQUA AIRLINES","EMB-145","Airplane","PORT COLUMBUS INTL","< 1000 ft","None","Some Cloud","Aborted Take-off","No damage",,7/30/2001 0:00,,,"Ohio","FLT 4894","Take-off run","Day",1,"Small","Rock pigeon",,2,0,0,0,0,0,1,"209,964",
"CHAUTAUQUA AIRLINES","SAAB-340","Airplane","SIOUX GATEWAY ARPT","< 1000 ft",,,"None","No damage",,7/10/2001 0:00,,,"Iowa","FLT 7502 PILOT REPTD POSSIBLE BIRD STRIKE ON T/O. NO DMG OR LOSS OF POWER.","Take-off run","Day",1,"Small","American kestrel",,2,0,0,0,0,0,1,"205,294",
"CHAUTAUQUA AIRLINES","EMB-145","Airplane","CINCINNATI/NORTHERN KENTUCKY INTL ARPT","< 1000 ft","None","Some Cloud",,"No damage",,5/16/2001 0:00,,,"Kentucky","FLT 4606. PILOT ASKED TO CALL FACILITY IF ANY DAMAGE.","Landing Roll","Dusk",1,"Small","American robin",,2,0,0,0,0,0,1,"207,733",
"CHAUTAUQUA AIRLINES","EMB-145","Airplane","SHREVEPORT REGIONAL","< 1000 ft","None","No Cloud","None","No damage",,5/6/2001 0:00,,,"Louisiana","FLT 4609","Approach","Night",1,"Small","Unknown bird - small",,2,0,0,0,70,,1,"206,587",
"CHAUTAUQUA AIRLINES","EMB-145","Airplane","LINCOLN MUNICIPAL","< 1000 ft","Rain","Overcast","None","No damage",,5/5/2001 0:00,,,"Nebraska","1 GULL WAS FOUND ON RWY. NO DMG AS REPTD BY PILOT","Approach","Day",1,,"Gulls",,2,0,0,0,150,,1,"206,421",120
"CHAUTAUQUA AIRLINES","SAAB-340","Airplane","GREATER PITTSBURGH","< 1000 ft","None","No Cloud","None","No damage",,1/10/2001 0:00,,,"Pennsylvania","FLT 4337","Approach","Night",1,"Small","Unknown bird - small",,2,0,0,0,700,,1,"208,789",130
"CHAUTAUQUA AIRLINES","SAAB-340","Airplane","GREATER ROCHESTER INTL","< 1000 ft","None","Overcast",,"No damage",,11/14/2000 0:00,,,"New York","FLT 4284","Approach","Day",1,,"Gulls",,2,0,0,0,10,,1,"205,138",90
